word1,word2,count
Interacting\ Binaries,Interacting\ Binaries,0
Interacting\ Binaries,Galactic,8
Interacting\ Binaries,Supernovae,6
Interacting\ Binaries,Cosmological,0
Interacting\ Binaries,Multiwavelength\ Characterization/Counterparts,8
Interacting\ Binaries,Tidal\ Disruption\ Events,1
Interacting\ Binaries,Non-degenerate\ Eruptive\ Variables,4
Interacting\ Binaries,Fast\ Transients,10
Interacting\ Binaries,Microlensing,0
Interacting\ Binaries,Gravitational\ Waves,2
Interacting\ Binaries,Classification/Characterization,7
Interacting\ Binaries,Magnetically\ Active\ Stars,2
Interacting\ Binaries,Distance\ Scales,1
Interacting\ Binaries,Pulsating\ Variables,8
Interacting\ Binaries,Transiting\ Planets,4
Interacting\ Binaries,Blazars,3
Galactic,Interacting\ Binaries,8
Galactic,Galactic,0
Galactic,Supernovae,1
Galactic,Cosmological,0
Galactic,Multiwavelength\ Characterization/Counterparts,5
Galactic,Tidal\ Disruption\ Events,1
Galactic,Non-degenerate\ Eruptive\ Variables,4
Galactic,Fast\ Transients,6
Galactic,Microlensing,4
Galactic,Gravitational\ Waves,4
Galactic,Classification/Characterization,11
Galactic,Magnetically\ Active\ Stars,3
Galactic,Distance\ Scales,3
Galactic,Pulsating\ Variables,4
Galactic,Transiting\ Planets,6
Galactic,Blazars,0
Supernovae,Interacting\ Binaries,6
Supernovae,Galactic,1
Supernovae,Supernovae,0
Supernovae,Cosmological,12
Supernovae,Multiwavelength\ Characterization/Counterparts,12
Supernovae,Tidal\ Disruption\ Events,10
Supernovae,Non-degenerate\ Eruptive\ Variables,4
Supernovae,Fast\ Transients,21
Supernovae,Microlensing,4
Supernovae,Gravitational\ Waves,14
Supernovae,Classification/Characterization,16
Supernovae,Magnetically\ Active\ Stars,0
Supernovae,Distance\ Scales,3
Supernovae,Pulsating\ Variables,3
Supernovae,Transiting\ Planets,1
Supernovae,Blazars,0
Cosmological,Interacting\ Binaries,0
Cosmological,Galactic,0
Cosmological,Supernovae,12
Cosmological,Cosmological,0
Cosmological,Multiwavelength\ Characterization/Counterparts,8
Cosmological,Tidal\ Disruption\ Events,2
Cosmological,Non-degenerate\ Eruptive\ Variables,0
Cosmological,Fast\ Transients,8
Cosmological,Microlensing,3
Cosmological,Gravitational\ Waves,7
Cosmological,Classification/Characterization,7
Cosmological,Magnetically\ Active\ Stars,0
Cosmological,Distance\ Scales,4
Cosmological,Pulsating\ Variables,0
Cosmological,Transiting\ Planets,0
Cosmological,Blazars,0
Multiwavelength\ Characterization/Counterparts,Interacting\ Binaries,8
Multiwavelength\ Characterization/Counterparts,Galactic,5
Multiwavelength\ Characterization/Counterparts,Supernovae,12
Multiwavelength\ Characterization/Counterparts,Cosmological,8
Multiwavelength\ Characterization/Counterparts,Multiwavelength\ Characterization/Counterparts,0
Multiwavelength\ Characterization/Counterparts,Tidal\ Disruption\ Events,10
Multiwavelength\ Characterization/Counterparts,Non-degenerate\ Eruptive\ Variables,2
Multiwavelength\ Characterization/Counterparts,Fast\ Transients,15
Multiwavelength\ Characterization/Counterparts,Microlensing,2
Multiwavelength\ Characterization/Counterparts,Gravitational\ Waves,12
Multiwavelength\ Characterization/Counterparts,Classification/Characterization,16
Multiwavelength\ Characterization/Counterparts,Magnetically\ Active\ Stars,2
Multiwavelength\ Characterization/Counterparts,Distance\ Scales,1
Multiwavelength\ Characterization/Counterparts,Pulsating\ Variables,1
Multiwavelength\ Characterization/Counterparts,Transiting\ Planets,5
Multiwavelength\ Characterization/Counterparts,Blazars,5
Tidal\ Disruption\ Events,Interacting\ Binaries,1
Tidal\ Disruption\ Events,Galactic,1
Tidal\ Disruption\ Events,Supernovae,10
Tidal\ Disruption\ Events,Cosmological,2
Tidal\ Disruption\ Events,Multiwavelength\ Characterization/Counterparts,10
Tidal\ Disruption\ Events,Tidal\ Disruption\ Events,0
Tidal\ Disruption\ Events,Non-degenerate\ Eruptive\ Variables,1
Tidal\ Disruption\ Events,Fast\ Transients,6
Tidal\ Disruption\ Events,Microlensing,0
Tidal\ Disruption\ Events,Gravitational\ Waves,4
Tidal\ Disruption\ Events,Classification/Characterization,4
Tidal\ Disruption\ Events,Magnetically\ Active\ Stars,0
Tidal\ Disruption\ Events,Distance\ Scales,0
Tidal\ Disruption\ Events,Pulsating\ Variables,1
Tidal\ Disruption\ Events,Transiting\ Planets,0
Tidal\ Disruption\ Events,Blazars,2
Non-degenerate\ Eruptive\ Variables,Interacting\ Binaries,4
Non-degenerate\ Eruptive\ Variables,Galactic,4
Non-degenerate\ Eruptive\ Variables,Supernovae,4
Non-degenerate\ Eruptive\ Variables,Cosmological,0
Non-degenerate\ Eruptive\ Variables,Multiwavelength\ Characterization/Counterparts,2
Non-degenerate\ Eruptive\ Variables,Tidal\ Disruption\ Events,1
Non-degenerate\ Eruptive\ Variables,Non-degenerate\ Eruptive\ Variables,0
Non-degenerate\ Eruptive\ Variables,Fast\ Transients,5
Non-degenerate\ Eruptive\ Variables,Microlensing,2
Non-degenerate\ Eruptive\ Variables,Gravitational\ Waves,1
Non-degenerate\ Eruptive\ Variables,Classification/Characterization,4
Non-degenerate\ Eruptive\ Variables,Magnetically\ Active\ Stars,0
Non-degenerate\ Eruptive\ Variables,Distance\ Scales,2
Non-degenerate\ Eruptive\ Variables,Pulsating\ Variables,4
Non-degenerate\ Eruptive\ Variables,Transiting\ Planets,1
Non-degenerate\ Eruptive\ Variables,Blazars,0
Fast\ Transients,Interacting\ Binaries,10
Fast\ Transients,Galactic,6
Fast\ Transients,Supernovae,21
Fast\ Transients,Cosmological,8
Fast\ Transients,Multiwavelength\ Characterization/Counterparts,15
Fast\ Transients,Tidal\ Disruption\ Events,6
Fast\ Transients,Non-degenerate\ Eruptive\ Variables,5
Fast\ Transients,Fast\ Transients,0
Fast\ Transients,Microlensing,4
Fast\ Transients,Gravitational\ Waves,14
